,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
226,226,Theatre District,North End,24.795358641260545,6,1,Rain,42.352,-71.064,42.365,-71.056
227,227,West End,North End,23.7464096062802,6,1,Rain,42.365,-71.064,42.365,-71.056
228,228,Back Bay,North Station,21.94741660624093,6,1,Rain,42.35,-71.08,42.366,-71.062
229,229,Beacon Hill,North Station,21.837089215763854,6,1,Rain,42.356,-71.069,42.366,-71.062
230,230,Boston University,North Station,21.458106246865697,6,1,Rain,42.351,-71.105,42.366,-71.062
231,231,Fenway,North Station,23.27244964786306,6,1,Rain,42.347,-71.092,42.366,-71.062
232,232,Financial District,North Station,23.946130446641643,6,1,Rain,42.356,-71.055,42.366,-71.062
233,233,Haymarket Square,North Station,26.032417982449964,6,1,Rain,42.364,-71.059,42.366,-71.062
234,234,North End,North Station,23.86141259780964,6,1,Rain,42.365,-71.056,42.366,-71.062
235,235,North Station,North Station,24.83537154325047,6,1,Rain,42.366,-71.062,42.366,-71.062
236,236,Northeastern University,North Station,23.007799183393008,6,1,Rain,42.34,-71.09,42.366,-71.062
237,237,South Station,North Station,23.084843717718748,6,1,Rain,42.352,-71.055,42.366,-71.062
238,238,Theatre District,North Station,24.79685555500093,6,1,Rain,42.352,-71.064,42.366,-71.062
239,239,West End,North Station,23.75185311901588,6,1,Rain,42.365,-71.064,42.366,-71.062
240,240,Back Bay,Northeastern University,21.95224287082795,6,1,Rain,42.35,-71.08,42.34,-71.09
241,241,Beacon Hill,Northeastern University,21.840837434764698,6,1,Rain,42.356,-71.069,42.34,-71.09
242,242,Boston University,Northeastern University,21.45976643286377,6,1,Rain,42.351,-71.105,42.34,-71.09
243,243,Fenway,Northeastern University,23.27272463805404,6,1,Rain,42.347,-71.092,42.34,-71.09
244,244,Financial District,Northeastern University,25.028303211013093,6,1,Rain,42.356,-71.055,42.34,-71.09
245,245,Haymarket Square,Northeastern University,24.14758120211996,6,1,Rain,42.364,-71.059,42.34,-71.09
246,246,North End,Northeastern University,23.851227514274427,6,1,Rain,42.365,-71.056,42.34,-71.09
247,247,North Station,Northeastern University,23.700395021410923,6,1,Rain,42.366,-71.062,42.34,-71.09
248,248,Northeastern University,Northeastern University,23.01245888576857,6,1,Rain,42.34,-71.09,42.34,-71.09
249,249,South Station,Northeastern University,21.07874122970895,6,1,Rain,42.352,-71.055,42.34,-71.09
250,250,Theatre District,Northeastern University,24.794414193787286,6,1,Rain,42.352,-71.064,42.34,-71.09
251,251,West End,Northeastern University,23.751887379173127,6,1,Rain,42.365,-71.064,42.34,-71.09
252,252,Back Bay,South Station,21.95190752842051,6,1,Rain,42.35,-71.08,42.352,-71.055
253,253,Beacon Hill,South Station,21.84635833212608,6,1,Rain,42.356,-71.069,42.352,-71.055
254,254,Boston University,South Station,21.46254748200028,6,1,Rain,42.351,-71.105,42.352,-71.055
255,255,Fenway,South Station,23.269893156374295,6,1,Rain,42.347,-71.092,42.352,-71.055
256,256,Financial District,South Station,29.160145848589835,6,1,Rain,42.356,-71.055,42.352,-71.055
257,257,Haymarket Square,South Station,24.165303898507283,6,1,Rain,42.364,-71.059,42.352,-71.055
258,258,North End,South Station,23.8591898232511,6,1,Rain,42.365,-71.056,42.352,-71.055
259,259,North Station,South Station,23.97118482767963,6,1,Rain,42.366,-71.062,42.352,-71.055
260,260,Northeastern University,South Station,23.00638461450375,6,1,Rain,42.34,-71.09,42.352,-71.055
261,261,South Station,South Station,25.56569103962477,6,1,Rain,42.352,-71.055,42.352,-71.055
262,262,Theatre District,South Station,24.797239340943708,6,1,Rain,42.352,-71.064,42.352,-71.055
263,263,West End,South Station,23.74814428704544,6,1,Rain,42.365,-71.064,42.352,-71.055
264,264,Back Bay,Theatre District,21.946009412701496,6,1,Rain,42.35,-71.08,42.352,-71.064
265,265,Beacon Hill,Theatre District,21.840601897840497,6,1,Rain,42.356,-71.069,42.352,-71.064
266,266,Boston University,Theatre District,21.461450643016967,6,1,Rain,42.351,-71.105,42.352,-71.064
267,267,Fenway,Theatre District,23.27616459115201,6,1,Rain,42.347,-71.092,42.352,-71.064
